What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"['The Broncos', 'Denver', 'Denver']",Denver,Denver Broncos,Pittsburgh Steelers,Denver,Pittsburgh Steelers,Denver Broncos,Denver Broncos,Pittsburgh Steelers,Denver Broncos,Denver Broncos,Denver,Pittsburgh Steelers,Denver,Pittsburgh Steelers,Denver,Pittsburgh Steelers,Minnesota Vikings,Denver,Denver,Denver Broncos,Minnesota Vikings,Denver,Pittsburgh Steelers,Baltimore Ravens,Denver Broncos,Pittsburgh Steelers,Denver Broncos,Denver Broncos,Pittsburgh Steelers,Denver Broncos,Pittsburgh Steelers,Denver,Pittsburgh Steelers,Denver Broncos,Denver
What was the Henry Cole Wing previously called?,"['School for Naval Architects', 'the science schools', 'School for Naval Architects']",Huxley Building,Huxley Building,Huxley Building,Huxley Building,The Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Henry Cole Wing,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building,Huxley Building
Which company has been able to air multiple ads at a steep discount?,"['Anheuser-Busch InBev', 'Anheuser-Busch InBev', 'Anheuser-Busch InBev']",Twitter,Netflix,AB InBev,Budweiser,AB InBev,Amazon,AB InBev,Budweiser,Budweiser,Priceline,AB InBev,Anheuser-Busch,Amazon,Budweiser,Amazon,Budweiser,Twitter,Amazon,Twitter,Netflix,AB InBev,Twitter,Budweiser,Amazon,Netflix,AB InBev,Budweiser,Budweiser,Anheuser-Busch InBev,Budweiser,Anheuser-Busch,Amazon,Budweiser,Budweiser,Budweiser
What did Gasquet think the plague was?,"['some form of the ordinary Eastern or bubonic plague', 'bubonic plague', 'ordinary Eastern or bubonic plague']",some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,Bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,a complete break with the past and the beginning of a new era,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague,bubonic plague,some form of the ordinary Eastern or bubonic plague
Who created the code that governed military and civilian conduct in the Mongol Empire?,"['Genghis Khan', 'Genghis Khan', 'Genghis Khan']",Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan
Why was the Rhine regulated? ,"['constant flooding', 'constant flooding and strong sedimentation', 'to counteract the constant flooding and strong sedimentation in the western Rhine Delta', 'to counteract the constant flooding and strong sedimentation']",prevent flood disasters,Prevent flood disasters,To reduce the risk of flooding and re-route the international border.,To reduce flooding and re-route the international border.,To prevent flood disasters,To prevent flood disasters,To prevent flood disasters,prevent flood disasters,Prevent flood disasters,reduce flooding and reroute border,To prevent flood disasters,Reduce flooding,prevent flood disasters,To prevent flood disasters,prevent flood disasters,Prevent flood disasters,To prevent flood disasters,prevent flood disasters,prevent flood disasters,Prevent flood disasters,To prevent flood disasters,prevent flood disasters,Prevent flood disasters,prevent flood disasters,Prevent flood disasters,To reduce the risk of flooding and re-route the international border.,To reduce flooding and re-route the international border,prevent flood disasters,To reduce the risk of flooding and re-route the international border,Prevent floods,prevent flood disasters,prevent flood disasters,Prevent flood disasters,To prevent flood disasters,To reduce flooding and re-route the international border
What was the population of the Dutch Republic before this emigration?,"['ca. 2 million', '2 million', '2 million']",1.5 million,1.5 million,A little under 2 million,1.5 million,1.5 million,"2,000,000",A little under 2 million,1.5 million,1.5 million to a little under 2 million,1.5 million,2 million,1.5 million,1.5 million,2 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,1.5 million,A little under 2 million,a little under 2 million,1.5 million,1.5 million,a little under 2 million,1.5 million,1.5 million,1.5 million,1.5 million,a little under 2 million
How many customaries does Norman customary law have?,"['two', 'two', 'two']",Two,Two customaries,Two,Two customaries,Two customaries,Two,Two,Two customaries,Two,Two customaries,Two,Two customaries,Two,Two,Two,Two customaries,Two customaries,Two,Two,Two,Two,Two,Two customaries,Two,Two,Two,Two,Two customaries,Two,Two,two customaries,Two,Two customaries,Two customaries,Two
What kind of climate does southern California maintain?,"['Mediterranean', 'a Mediterranean climate', 'Mediterranean']",Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean climate,Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate,Mediterranean climate,Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate,Mediterranean,Mediterranean climate,Mediterranean
What does AC stand for?,"['alternating current', 'alternating current', 'alternating current']",Alternating Current,Alternating Current,alternating current,Alternating current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,alternating current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,alternating current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current,Alternating Current
EM,,0.25157232704402516,0.2641509433962264,0.27672955974842767,0.24528301886792453,0.2389937106918239,0.2578616352201258,0.27672955974842767,0.25157232704402516,0.2578616352201258,0.24528301886792453,0.31446540880503143,0.24528301886792453,0.2830188679245283,0.2389937106918239,0.25157232704402516,0.24528301886792453,0.2578616352201258,0.2578616352201258,0.2641509433962264,0.2578616352201258,0.25157232704402516,0.25157232704402516,0.27044025157232704,0.24528301886792453,0.2830188679245283,0.27672955974842767,0.24528301886792453,0.22641509433962265,0.2641509433962264,0.23270440251572327,0.24528301886792453,0.25157232704402516,0.2389937106918239,0.25157232704402516,0.27044025157232704
F1,,0.3540066502330653,0.3986855847084248,0.41439813834375433,0.3720433479867442,0.38309118701372924,0.37502991931404805,0.397998350356841,0.37965217794996303,0.378989997784904,0.38560622870454053,0.4217304707870746,0.37700296373992265,0.38119220566501366,0.3526917288089086,0.3654674160681978,0.36768633000013334,0.3836973997351356,0.36780995549031065,0.35889833437003243,0.38580996222505654,0.37231053527390934,0.3534615768578033,0.39342401134853966,0.3519803440905598,0.40672665908514966,0.41061418644659486,0.3701770626298928,0.3414548298196097,0.38000147357148356,0.35455469223504743,0.37762391347297003,0.3654674160681978,0.3702646261060888,0.385046923726169,0.3946915418613532
elapsed time,,0.38816072206077334,20.91936001387782,266.3323281651023,256.4032884498812,188.98593698507585,164.80056626841707,138.70788073539734,201.01272805981665,184.82216722710328,253.3891730263548,197.11847559760952,203.09707190555596,5.093440231287254,63.66290120958532,9.729360977808634,24.127626179149317,168.48560712772345,1.429026317296538,2.576112817668315,21.57305316055346,376.75439667551774,1.075433485163083,6.041101247259656,2.329546366097792,1.9769914015284125,5.753158752273464,412.0999440172183,16.24345395550038,320.73852825464695,329.5629457737665,320.78274991227397,1.503580276321315,11.268458265928352,18.198871512083137,68.98818026248765
